Potential (V)	Current (A)	Elapsed Time (s)	Zre (ohms)	Zim (ohms)	
-0.00981436483561993	-2.52603308581456E-06	1800.0255	0	0	
-0.00981436483561993	-2.52541894951719E-06	1800.0256	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0257	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0258	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0259	0	0	
-0.0101210698485374	-2.52541894951719E-06	1800.026	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0261	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0262	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0263	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0264	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0265	0	0	
-0.00981436483561993	-2.52603308581456E-06	1800.0266	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0267	0	0	
-0.0101210698485374	-2.52603308581456E-06	1800.0268	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0269	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.027	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0271	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0272	0	0	
-0.00981436483561993	-2.52725999416725E-06	1800.0273	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0274	0	0	
-0.0101210698485374	-2.52664608524356E-06	1800.0275	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0276	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0277	0	0	
-0.0101210698485374	-2.52725999416725E-06	1800.0278	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0279	0	0	
-0.00981436483561993	-2.52725999416725E-06	1800.028	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0281	0	0	
-0.00981436483561993	-2.52787299359625E-06	1800.0282	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0283	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0284	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0285	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0286	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0287	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0288	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0289	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.029	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0291	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0292	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0293	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0294	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0295	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0296	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0297	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0298	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0299	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.03	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0301	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0302	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0303	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0304	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0305	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0306	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0307	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0308	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0309	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.031	0	0	
-0.00981436483561993	-2.52848599302524E-06	1800.0311	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0312	0	0	
-0.0101210698485374	-2.52848599302524E-06	1800.0313	0	0	
-0.0101210698485374	-2.52787299359625E-06	1800.0314	0	0	
-0.00981436483561993	-2.52787299359625E-06	1800.0315	0	0	
